"","CPU","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Score","Quartile"
"265","AMD Ryzen 5 2600",2018-05-17,189.99,2023-04-26,67.34,13201,"Second Quartile"
"266","Intel Pentium Gold G6500T @ 3.50GHz",2021-03-31,75,2021-03-31,75,3874,"First Quartile"
"267","Intel Core i7-4790 @ 3.60GHz",2014-08-21,309.99,2022-10-25,105,7269,"Third Quartile"
"268","Intel Core i5-5675C @ 3.10GHz",2015-10-25,273.99,2023-03-02,158.67,5579,"Third Quartile"
"269","Intel Celeron G5925 @ 3.60GHz",2020-07-01,52,2023-05-30,44.91,2841,"First Quartile"
"270","Intel Core i3-8100 @ 3.60GHz",2017-11-02,149.89,2023-02-01,133.37,6131,"Second Quartile"
"271","Intel Core i7-4790S @ 3.20GHz",2014-06-07,314.99,2023-05-26,109.99,7008,"Third Quartile"
"272","AMD Ryzen 3 3200G",2019-08-01,99.99,2022-07-13,129.98,7136,"First Quartile"
"273","Intel Pentium Gold G5400 @ 3.70GHz",2018-04-01,64,2023-01-15,104.7,3726,"First Quartile"
"274","Intel Core i7-9700TE @ 1.80GHz",2019-12-31,323,2019-12-31,323,10280,"Second Quartile"
"275","AMD Ryzen 5 1600X",2017-06-14,239.99,2023-01-31,265.7,13065,"Third Quartile"
"276","Intel Core i5-4690S @ 3.20GHz",2014-06-30,59.99,2014-06-30,59.99,5524,"First Quartile"
"277","AMD Ryzen 7 1800X",2017-04-21,469.99,2021-12-21,192.75,16380,"Third Quartile"
"278","Intel Core i5-4690K @ 3.50GHz",2014-08-28,249.99,2023-05-26,65,5690,"Third Quartile"
"279","Intel Core i7-4771 @ 3.50GHz",2013-09-18,319.99,2022-11-25,129.74,7140,"Third Quartile"
"280","Intel Core i3-6100 @ 3.70GHz",2015-11-27,129.99,2019-08-01,129.99,4147,"Second Quartile"
"281","Intel Core i5-4690 @ 3.50GHz",2014-07-09,224.99,2023-01-12,64.99,5569,"Third Quartile"
"282","Intel Celeron G5905 @ 3.50GHz",2020-07-01,42,2023-03-19,30.32,2814,"First Quartile"
"283","AMD Ryzen 7 2700",2018-05-12,294.99,2023-02-16,114.38,15720,"Third Quartile"
"284","Intel Pentium G4600 @ 3.60GHz",2017-02-15,89.62,2023-01-26,76,3631,"First Quartile"
"285","Intel Pentium Gold G6405T @ 3.50GHz",2021-06-30,64,2021-06-30,64,3746,"First Quartile"
"286","Intel Core i7-4770 @ 3.40GHz",2013-07-14,309.99,2022-12-13,108,7057,"Third Quartile"
"287","Intel Core i5-9500T @ 2.20GHz",2019-06-30,192,2019-06-30,192,8198,"Second Quartile"
"288","Intel Core i5-4670R @ 3.00GHz",2018-09-30,276,2018-09-30,276,5233,"Third Quartile"
"289","Intel Core i7-4770K @ 3.50GHz",2013-06-04,349.99,2022-10-19,72.05,7124,"Third Quartile"
"290","Intel Core i5-10400T @ 2.00GHz",2020-09-30,182,2020-09-30,182,9816,"Second Quartile"
"291","Intel Core i5-7600T @ 2.80GHz",2017-06-19,266.94,2022-04-04,199,5889,"Third Quartile"
"292","Intel Celeron G5920 @ 3.50GHz",2020-04-01,52,2023-05-25,53,2482,"First Quartile"
"293","Intel Core i3-4370 @ 3.80GHz",2014-09-16,159.99,2022-11-24,123.99,3847,"Third Quartile"
"294","Intel Core i7-7700T @ 2.90GHz",2017-03-31,144.69,2017-03-31,144.69,7610,"Second Quartile"
"295","AMD Ryzen 5 2400G",2018-02-14,169,2023-04-09,109.28,8732,"Second Quartile"
"296","Intel Core i5-4670K @ 3.40GHz",2013-06-25,239.99,2022-12-29,117,5567,"Third Quartile"
"297","Intel Pentium G4500 @ 3.50GHz",2015-11-20,89.99,2022-08-17,79.99,2772,"First Quartile"
"298","Intel Core i5-4670 @ 3.40GHz",2013-08-28,209.99,2022-08-11,92.52,5501,"Third Quartile"
"299","Intel Core i7-9850HL @ 1.90GHz",2019-12-31,395,2019-12-31,395,9112,"Third Quartile"
"300","Intel Core i3-7300T @ 3.50GHz",2017-06-30,181.59,2017-06-30,181.59,4211,"Second Quartile"
"301","Intel Core i7-4770S @ 3.10GHz",2013-06-04,309.99,2022-10-05,128.95,6761,"Third Quartile"
"302","Intel Core i5-9400T @ 1.80GHz",2019-09-30,182,2019-09-30,182,8397,"Second Quartile"
"303","Intel Core i3-6098P @ 3.60GHz",2016-06-11,125.59,2017-07-19,164.7,4021,"Second Quartile"
"304","AMD Ryzen 3 1300X",2017-09-29,121.99,2023-04-23,67.11,6985,"First Quartile"
"305","AMD Ryzen 5 1500X",2017-05-24,201.32,2023-01-12,69.3,9093,"Second Quartile"
"306","Intel Core i5-6500 @ 3.20GHz",2015-11-11,194.99,2022-12-07,80.98,5633,"Second Quartile"
"307","Intel Celeron G5900 @ 3.40GHz",2020-04-01,42,2022-04-05,57.99,2643,"First Quartile"
"308","Intel Pentium Gold G6400T @ 3.40GHz",2021-06-30,64,2021-06-30,64,3541,"First Quartile"
"309","AMD Ryzen 7 1700X",2017-03-31,71.64,2017-03-31,71.64,15667,"First Quartile"
"310","Intel Pentium G4560 @ 3.50GHz",2017-03-20,79.99,2023-03-19,29.99,3529,"First Quartile"
"311","Intel Pentium G3470 @ 3.60GHz",2015-05-07,99.99,2022-12-06,309.73,2428,"Second Quartile"
"312","Intel Core i5-6600T @ 2.70GHz",2017-11-18,190,2023-03-08,113.22,5683,"Second Quartile"
"313","Intel Core i7-4790T @ 2.70GHz",2014-06-30,249.88,2014-06-30,249.88,6346,"Third Quartile"
"314","Intel Core i5-7400 @ 3.00GHz",2017-02-22,189.99,2023-01-26,85,5485,"Second Quartile"
"315","Intel Core i5-4590 @ 3.30GHz",2014-05-17,199.99,2023-05-10,18.74,5369,"Third Quartile"
"316","Intel Core i3-4360 @ 3.70GHz",2014-05-21,159.99,2023-02-23,110.42,3631,"Third Quartile"
"317","Intel Core i5-4670S @ 3.10GHz",2013-03-31,213,2013-03-31,213,5130,"Third Quartile"
"318","Intel Core i7-4960X @ 3.60GHz",2013-09-16,1049.99,2022-03-08,1250,10092,"Third Quartile"
"319","Intel Core i3-9100T @ 3.10GHz",2019-09-30,122,2019-09-30,122,5492,"First Quartile"
"320","Intel Core i7-6700T @ 2.80GHz",2015-12-31,199.99,2015-12-31,199.99,7256,"Third Quartile"
"321","Intel Core i7-3770 @ 3.40GHz",2012-04-30,319.99,2022-11-16,74.77,6410,"Third Quartile"
"322","Intel Core i7-3770K @ 3.50GHz",2012-04-30,349.99,2022-08-30,125,6462,"Third Quartile"
"323","AMD Ryzen 5 1600",2017-05-26,218.99,2023-02-08,84.95,12282,"Second Quartile"
"324","Intel Core i3-4170 @ 3.70GHz",2015-07-21,119.99,2022-10-07,57.88,3594,"Second Quartile"
"325","AMD Ryzen 3 2200G",2018-04-05,111.31,2023-05-14,247.51,6767,"Second Quartile"
"326","Intel Core i5-4590S @ 3.00GHz",2014-07-15,189.99,2023-05-10,240,5135,"Third Quartile"
"327","Intel Core i5-3570K @ 3.40GHz",2012-06-20,229.99,2023-02-12,54.95,4954,"Third Quartile"
"328","Intel Core i7-5930K @ 3.50GHz",2014-11-07,579.99,2022-09-30,44.99,10303,"Third Quartile"
"329","Intel Core i5-3570 @ 3.40GHz",2012-08-09,214.99,2021-08-27,92.18,4920,"Third Quartile"
"330","Intel Core i7-3770S @ 3.10GHz",2012-07-11,309.99,2022-09-16,109,6180,"Third Quartile"
"331","Intel Core i3-4340 @ 3.60GHz",2013-09-20,159.99,2023-03-08,93.33,3545,"Second Quartile"
"332","Intel Celeron G4950 @ 3.30GHz",2019-04-01,52,2022-04-22,1008.66,2714,"First Quartile"
"333","Intel Core i5-4570 @ 3.20GHz",2013-08-21,189.99,2022-10-15,93.99,5228,"Third Quartile"
"334","Intel Core i5-6402P @ 2.80GHz",2016-06-05,203.46,2017-01-28,189.99,5436,"Third Quartile"
"335","Intel Celeron G5900T @ 3.20GHz",2021-12-31,42,2021-12-31,42,2620,"First Quartile"
"336","Intel Core i3-7101TE @ 3.40GHz",2017-12-31,117,2017-12-31,117,3957,"First Quartile"
"337","Intel Core i3-6300T @ 3.30GHz",2016-08-14,158.06,2023-01-27,90.03,4002,"Third Quartile"
"338","Intel Core i5-8500T @ 2.10GHz",2018-06-30,265.99,2018-06-30,265.99,7727,"Third Quartile"
"339","Intel Pentium G4520 @ 3.60GHz",2015-11-28,99.99,2022-12-10,97.33,2707,"Second Quartile"
"340","Intel Pentium G4400 @ 3.30GHz",2016-01-16,59.9,2022-12-10,57.99,2578,"First Quartile"
"341","Intel Core i5-4570S @ 2.90GHz",2013-06-06,199.99,2023-05-28,100,5013,"Third Quartile"
"342","Intel Core i7-5820K @ 3.30GHz",2014-11-08,374.99,2023-02-01,36.99,9859,"Third Quartile"
"343","AMD Ryzen 7 1700",2017-04-09,324.99,2022-12-13,100.28,14819,"Third Quartile"
"344","Intel Core i3-4160 @ 3.60GHz",2014-08-30,129.99,2022-09-28,122.57,3513,"Second Quartile"
"345","Intel Core i5-3550 @ 3.30GHz",2012-06-14,209.99,2021-05-13,187.91,4808,"Third Quartile"
"346","Intel Core i3-8300T @ 3.20GHz",2018-06-30,158.95,2018-06-30,158.95,5733,"Second Quartile"
"347","Intel Core i5-3570S @ 3.10GHz",2021-06-07,69.99,2022-04-06,67.96,4618,"First Quartile"
"348","Intel Celeron G4930 @ 3.20GHz",2019-04-01,42,2023-04-27,45.6,2591,"First Quartile"
"349","AMD Athlon 3000G",2019-12-31,89.99,2019-12-31,89.99,4488,"First Quartile"
"350","Intel Pentium G3460 @ 3.50GHz",2014-09-24,104.99,2023-01-10,175,2216,"Second Quartile"
"351","Intel Core i7-5960X @ 3.00GHz",2014-08-31,1049.99,2022-08-24,165,12717,"Third Quartile"
"352","Intel Core i3-4330 @ 3.50GHz",2013-09-16,149.99,2022-08-27,120.7,3542,"Second Quartile"
"353","AMD Athlon 240GE",2019-03-31,98.27,2019-03-31,98.27,4534,"First Quartile"
"354","Intel Core i5-3550S @ 3.00GHz",2012-06-30,329.95,2012-06-30,329.95,4438,"Third Quartile"
"355","Intel Core i7-4930K @ 3.40GHz",2013-09-14,579.99,2021-09-27,179.96,9403,"Third Quartile"
"356","Intel Core i3-7100T @ 3.40GHz",2017-01-01,117,2022-06-21,175.1,3768,"First Quartile"
"357","Intel Core i7-4820K @ 3.70GHz",2013-11-14,324.99,2022-10-08,250,6526,"Third Quartile"
"358","Intel Celeron G4920 @ 3.20GHz",2018-04-01,52,2023-03-04,106.93,2500,"First Quartile"
"359","Intel Core i5-6400 @ 2.70GHz",2015-09-30,79.8,2015-09-30,79.8,5168,"First Quartile"
"360","Intel Pentium Gold G5420T @ 3.20GHz",2019-12-31,64,2019-12-31,64,3452,"First Quartile"
"361","Intel Pentium Gold G5500T @ 3.20GHz",2018-06-30,75,2018-06-30,75,3304,"First Quartile"
"362","Intel Core i3-4350 @ 3.60GHz",2014-08-31,144.99,2023-03-10,39.99,3501,"Second Quartile"
"363","Intel Core i5-3470 @ 3.20GHz",2012-08-09,199.99,2023-03-29,34.99,4677,"Third Quartile"
"364","Intel Core i3-4150 @ 3.50GHz",2014-05-29,129.99,2022-10-13,76.6,3393,"Second Quartile"
"365","AMD Ryzen 3 1200",2017-09-10,104.99,2023-01-31,61.99,6293,"First Quartile"
"366","Intel Core i5-7500T @ 2.70GHz",2017-07-15,235.17,2023-03-03,119.28,5252,"Third Quartile"
"367","Intel Core i7-4770T @ 2.50GHz",2017-07-30,308.99,2023-03-15,74.72,5973,"Third Quartile"
"368","Intel Core i5-8400T @ 1.70GHz",2018-06-30,239.84,2018-06-30,239.84,7442,"Third Quartile"
"369","Intel Pentium G3440 @ 3.30GHz",2014-09-30,149.99,2014-09-30,149.99,2224,"Third Quartile"
"370","Intel Core i5-4570T @ 2.90GHz",2015-02-21,200.99,2023-02-07,621,3219,"Third Quartile"
"371","Intel Pentium G3430 @ 3.30GHz",2013-12-31,98,2013-12-31,98,2127,"Second Quartile"
"372","Intel Core i3-4370T @ 3.30GHz",2017-12-31,138,2017-12-31,138,3361,"First Quartile"
"373","Intel Core i5-4460 @ 3.20GHz",2014-05-15,189.99,2022-10-28,55.97,4882,"Third Quartile"
"374","AMD Ryzen 5 1400",2017-05-22,178.14,2023-01-12,57.39,7765,"Second Quartile"
"375","Intel Core i5-3470S @ 2.90GHz",2013-03-18,197.99,2022-07-02,72.41,4387,"Third Quartile"
"376","Intel Pentium G3450 @ 3.40GHz",2014-07-17,99.99,2022-03-12,57.97,2167,"Second Quartile"
"377","Intel Core i3-8100T @ 3.10GHz",2018-09-30,219.05,2018-09-30,219.05,5276,"Second Quartile"
"378","Intel Celeron G4900 @ 3.10GHz",2018-04-01,42,2023-01-15,58.4,2442,"First Quartile"
"379","Intel Core i3-4130 @ 3.40GHz",2013-12-05,119.99,2023-05-01,21.26,3306,"Second Quartile"
"380","Intel Core i3-6100T @ 3.20GHz",2016-05-08,124.99,2023-01-10,112.99,3666,"Second Quartile"
"381","Intel Core i5-3450S @ 2.80GHz",2012-08-09,199.99,2021-05-13,129,4375,"Third Quartile"
"382","Intel Core i5-3450 @ 3.10GHz",2012-07-02,189.99,2021-05-13,97.97,4495,"Second Quartile"
"383","Intel Pentium G3260 @ 3.30GHz",2015-05-15,69.99,2023-02-08,55.35,2088,"First Quartile"
"384","Intel Pentium G3258 @ 3.20GHz",2014-06-30,53.28,2014-06-30,53.28,2076,"First Quartile"
"385","Intel Core i5-4440 @ 3.10GHz",2013-10-06,194.99,2023-05-28,29.99,4770,"Third Quartile"
"386","Intel Core i5-4460S @ 2.90GHz",2014-06-30,159.95,2014-06-30,159.95,4598,"Third Quartile"
"387","Intel Celeron G3950 @ 3.00GHz",2017-03-31,143,2017-03-31,143,2322,"Second Quartile"
"388","Intel Pentium G2140 @ 3.30GHz",2014-03-31,45,2014-03-31,45,2092,"First Quartile"
"389","Intel Core i7-3970X @ 3.50GHz",2013-01-02,1079.99,2022-07-05,185.59,8461,"Third Quartile"
"390","Intel Core i3-3250 @ 3.50GHz",2013-11-23,129.99,2022-11-25,80.1,2435,"Second Quartile"
"391","Intel Core i7-3770T @ 2.50GHz",2012-06-30,156.59,2012-06-30,156.59,5444,"Second Quartile"
"392","Intel Core i5-3475S @ 2.90GHz",2012-03-31,249.95,2012-03-31,249.95,4250,"Third Quartile"
"393","Intel Core i3-4170T @ 3.20GHz",2015-12-31,199.95,2015-12-31,199.95,3215,"Second Quartile"
"394","Intel Core i5-3470T @ 2.90GHz",2012-06-30,269.95,2012-06-30,269.95,2989,"Third Quartile"
"395","Intel Core i5-6500TE @ 2.30GHz",2015-12-31,489.95,2015-12-31,489.95,4724,"Third Quartile"
"396","Intel Pentium G3250 @ 3.20GHz",2014-11-21,69.99,2023-04-30,56.39,1994,"Second Quartile"
"397","Intel Core i7-2700K @ 3.50GHz",2012-02-25,339.99,2023-03-27,17.54,5721,"Third Quartile"
"398","AMD FX-9590 Eight-Core",2013-11-03,429.99,2023-03-08,260.03,6771,"Third Quartile"
"399","AMD Athlon 200GE",2019-01-06,59.99,2021-08-28,123.89,4117,"First Quartile"
"400","Intel Core i5-4400E @ 2.70GHz",2014-03-31,266,2014-03-31,266,3251,"Third Quartile"
"401","Intel Core i5-4440S @ 2.80GHz",2013-12-22,199.99,2017-01-23,209.38,4384,"Third Quartile"
"402","Intel Core i5-4430 @ 3.00GHz",2013-06-05,189.99,2022-12-07,12.99,4655,"Third Quartile"
"403","Intel Core i7-3960X @ 3.30GHz",2011-11-10,1317.58,2022-08-26,199.98,8401,"Third Quartile"
"404","Intel Core i5-3350P @ 3.10GHz",2013-01-11,179.99,2022-05-31,237.19,4280,"Second Quartile"
"405","Intel Core i3-3245 @ 3.40GHz",2013-07-28,139.99,2022-09-24,145,2379,"Second Quartile"
"406","Intel Core i5-6500T @ 2.50GHz",2015-12-31,221.52,2015-12-31,221.52,4777,"Third Quartile"
"407","Intel Core i3-3240 @ 3.40GHz",2012-09-13,149.99,2023-05-08,33,2317,"Second Quartile"
"408","Intel Celeron G5905T @ 3.30GHz",2021-06-30,42,2021-06-30,42,2154,"First Quartile"
"409","Intel Celeron G3920 @ 2.90GHz",2016-06-15,67.15,2023-03-29,1083.82,2358,"First Quartile"
"410","Intel Celeron G3930 @ 2.90GHz",2018-08-16,51.17,2023-04-18,19.37,2237,"First Quartile"
"411","Intel Core i5-3340 @ 3.10GHz",2013-10-27,194.99,2021-11-05,195,4245,"Third Quartile"
"412","Intel Pentium G4600T @ 3.00GHz",2018-01-13,87.78,2022-04-07,118,3055,"First Quartile"
"413","Intel Core i5-4670T @ 2.30GHz",2013-06-30,259.02,2013-06-30,259.02,4441,"Third Quartile"
"414","Intel Core i5-7400T @ 2.40GHz",2017-06-11,204.71,2022-03-19,179.59,4744,"Second Quartile"
"415","Intel Celeron G4930T @ 3.00GHz",2020-09-30,42,2020-09-30,42,2297,"First Quartile"
"416","Intel Core i5-4430S @ 2.70GHz",2017-07-30,134.99,2023-03-08,22.94,4321,"First Quartile"
"417","Intel Core i3-4160T @ 3.10GHz",2017-07-30,141.99,2021-05-30,59.99,3125,"Second Quartile"
"418","Intel Pentium G3420 @ 3.20GHz",2013-09-30,53,2013-09-30,53,1933,"First Quartile"
"419","Intel Core i5-3340S @ 2.80GHz",2013-11-17,199.99,2022-08-15,129.99,3914,"Third Quartile"
"420","Intel Core i7-3930K @ 3.20GHz",2011-12-01,599.99,2022-08-12,399.1,8209,"Third Quartile"
"421","Intel Core i5-2550K @ 3.40GHz",2012-03-04,229.99,2022-09-12,106.25,4088,"Third Quartile"
"422","Intel Pentium G4400T @ 2.90GHz",2015-12-31,148.02,2015-12-31,148.02,2331,"Second Quartile"
"423","Intel Pentium G2130 @ 3.20GHz",2013-02-20,99.99,2022-05-11,76,1921,"Second Quartile"
"424","Intel Pentium G3240 @ 3.10GHz",2014-07-16,69.99,2022-11-18,49.75,1938,"Second Quartile"
"425","Intel Core i7-2600K @ 3.40GHz",2011-03-08,328.99,2022-08-19,79.99,5485,"Third Quartile"
"426","Intel Core i7-3820 @ 3.60GHz",2012-05-13,299.99,2022-12-07,99.99,5754,"Third Quartile"
"427","Intel Core i7-2600 @ 3.40GHz",2011-05-15,289.99,2022-10-15,59.49,5342,"Third Quartile"
"428","Intel Celeron G4900T @ 2.90GHz",2018-03-31,68.95,2018-03-31,68.95,2239,"First Quartile"
"429","Intel Core i7-2600S @ 2.80GHz",2011-12-30,309.99,2016-08-26,215,4625,"Third Quartile"
"430","Intel Core i3-3220 @ 3.30GHz",2012-10-10,129.99,2022-09-10,41,2263,"Second Quartile"
"431","Intel Core i5-3330 @ 3.00GHz",2012-10-10,189.99,2021-05-13,398.8,4091,"Second Quartile"
"432","Intel Celeron G3900 @ 2.80GHz",2016-06-05,57.03,2023-04-16,35.09,2180,"First Quartile"
"433","Intel Pentium G2120 @ 3.10GHz",2012-12-27,99.99,2023-05-26,85,1892,"Second Quartile"
"434","Intel Core i5-2500 @ 3.30GHz",2011-01-10,209.99,2023-01-04,12.99,4129,"Third Quartile"
"435","Intel Pentium G4560T @ 2.90GHz",2018-03-01,74.52,2022-07-27,124.65,2966,"First Quartile"
"436","Intel Core i5-3330S @ 2.70GHz",2012-03-31,199.95,2012-03-31,199.95,3884,"Third Quartile"
"437","Intel Core i3-3210 @ 3.20GHz",2013-02-21,129.99,2022-07-02,153,2221,"Second Quartile"
"438","Intel Celeron G3930TE @ 2.70GHz",2019-09-30,42,2019-09-30,42,2218,"First Quartile"
"439","Intel Pentium G3220 @ 3.00GHz",2013-09-13,69.99,2022-11-16,63.46,1892,"First Quartile"
"440","Intel Core i5-2500K @ 3.30GHz",2011-03-20,224.99,2022-08-20,81.9,4121,"Third Quartile"
"441","Intel Core i3-3225 @ 3.30GHz",2012-10-10,144.99,2022-07-12,198,2231,"Second Quartile"
"442","Intel Celeron G1850 @ 2.90GHz",2014-05-20,59.99,2021-05-13,112.99,1915,"First Quartile"
"443","AMD FX-9370 Eight-Core",2013-09-20,299.99,2022-11-24,369.72,6159,"Third Quartile"
"444","AMD PRO A12-9800",2017-03-31,169,2017-03-31,169,3705,"Second Quartile"
"445","AMD Athlon X4 845",2016-04-16,67.99,2022-09-16,59.99,3807,"First Quartile"
"446","Intel Core i5-2450P @ 3.20GHz",2012-04-18,214.99,2022-04-16,179,4203,"Third Quartile"
"447","AMD A12-9800",2017-08-27,109.99,2023-01-12,99.88,3583,"First Quartile"
"448","Intel Core i5-4590T @ 2.00GHz",2014-06-30,94.19,2014-06-30,94.19,4081,"Second Quartile"
"449","Intel Celeron G3930T @ 2.70GHz",2017-01-01,42,2022-02-11,96.6,2040,"First Quartile"
"450","AMD A10-6800B APU",2014-03-31,128.02,2014-03-31,128.02,3088,"Second Quartile"
"451","Intel Core i5-2500S @ 2.70GHz",2011-03-31,55.34,2011-03-31,55.34,3399,"First Quartile"
"452","AMD PRO A10-9700",2016-12-31,169,2016-12-31,169,3649,"Third Quartile"
"453","Intel Core i5-6400T @ 2.20GHz",2021-07-11,159.99,2021-08-16,225,4273,"Second Quartile"
"454","AMD Athlon X4 950",2017-09-30,25.99,2017-09-30,25.99,3588,"First Quartile"
"455","AMD Athlon X4 880K",2016-06-05,94.01,2022-04-25,94.65,3659,"Second Quartile"
"456","AMD FX-8370 Eight-Core",2014-11-14,199.99,2023-05-25,171.74,6204,"Third Quartile"
"457","AMD A6-9500",2017-10-12,58.98,2023-03-23,60.05,1876,"First Quartile"
"458","Intel Core i7-4765T @ 2.00GHz",2017-07-30,269.99,2021-08-19,519.85,5114,"Third Quartile"
"459","Intel Core i5-4570TE @ 2.70GHz",2014-09-30,341.99,2014-09-30,341.99,3074,"Third Quartile"
"460","Intel Core i3-4130T @ 2.90GHz",2013-09-23,139.99,2023-02-08,19.99,2875,"Second Quartile"
"461","AMD A12-9800E",2017-09-30,670.15,2017-09-30,670.15,3471,"Third Quartile"
"462","Intel Core i3-4150T @ 3.00GHz",2014-09-30,417.42,2014-09-30,417.42,2912,"Third Quartile"
"463","AMD FX-4350 Quad-Core",2013-06-06,129.99,2019-01-12,229.99,3304,"Second Quartile"
"464","AMD A10-9700",2017-08-27,89.99,2023-02-25,63.78,3542,"First Quartile"
"465","Intel Pentium G3260T @ 2.90GHz",2015-09-30,49.99,2015-09-30,49.99,1837,"First Quartile"
"466","Intel Pentium G2030 @ 3.00GHz",2013-04-01,64,2022-11-19,59.68,1748,"First Quartile"
"467","Intel Core i5-2380P @ 3.10GHz",2012-06-10,194.99,2023-01-07,116.67,3797,"Third Quartile"
"468","AMD A10-6800K APU",2013-11-03,139.99,2022-08-24,50.4,3217,"Second Quartile"
"469","AMD A10-6700 APU",2013-06-16,148.99,2023-01-12,38.78,3116,"Second Quartile"
"470","Intel Pentium G3250T @ 2.80GHz",2015-03-31,49.99,2015-03-31,49.99,1757,"First Quartile"
"471","Intel Celeron G1840 @ 2.80GHz",2014-06-16,49.99,2023-05-13,40.3,1768,"First Quartile"
"472","AMD FX-8350 Eight-Core",2012-12-13,209.99,2023-01-31,77.38,6059,"Third Quartile"
"473","Intel Core i5-2400 @ 3.10GHz",2011-03-11,189.99,2021-12-22,58.85,3869,"Third Quartile"
"474","Intel Core i5-680 @ 3.60GHz",2010-07-04,309.99,2021-10-20,60,2618,"Third Quartile"
"475","AMD A10-5800B APU",2013-09-30,44.99,2013-09-30,44.99,3034,"First Quartile"
"476","Intel Core i7-990X @ 3.47GHz",2012-08-17,1029.99,2022-03-20,1500.19,7106,"Third Quartile"
"477","Intel Celeron G3900T @ 2.60GHz",2016-06-30,112.46,2016-06-30,112.46,2102,"Second Quartile"
"478","AMD A6-7470K",2016-07-15,67.92,2021-11-12,39.99,1799,"First Quartile"
"479","AMD A10 PRO-7850B APU",2014-12-31,148.02,2014-12-31,148.02,3453,"Second Quartile"
"480","Intel Pentium G3420T @ 2.70GHz",2014-09-30,159.99,2014-09-30,159.99,1912,"Third Quartile"
"481","Intel Core i3-2125 @ 3.30GHz",2011-12-18,149.99,2022-07-28,149.99,2083,"Third Quartile"
"482","AMD A10-7890K",2016-06-05,162.83,2023-03-22,137.19,3522,"Third Quartile"
"483","Intel Core i3-2130 @ 3.40GHz",2011-12-15,149.99,2021-12-30,45.94,2035,"Third Quartile"
"484","AMD FX-4330",2015-12-31,733.5,2015-12-31,733.5,3098,"Third Quartile"
"485","AMD FX-6350 Six-Core",2013-05-21,139.99,2023-01-25,50,4545,"Second Quartile"
"486","AMD A6-7480",2019-05-04,43.99,2023-05-28,34.82,1836,"First Quartile"
"487","AMD Athlon X4 870K",2016-04-20,93.99,2022-08-22,36.59,3410,"Second Quartile"
"488","Intel Pentium G2020 @ 2.90GHz",2013-03-11,64.99,2023-03-19,54.64,1681,"First Quartile"
"489","AMD A10-6790K APU",2014-03-03,129.99,2023-04-24,29.84,3070,"Second Quartile"
"490","Intel Celeron G1630 @ 2.80GHz",2013-10-24,59.99,2021-05-13,51.99,1707,"First Quartile"
"491","AMD A6-6420K APU",2014-10-24,69.99,2018-08-16,149.99,1576,"Second Quartile"
"492","Intel Core i7-980 @ 3.33GHz",2011-07-17,599.99,2021-05-13,194.99,6926,"Third Quartile"
"493","Intel Celeron G1820 @ 2.70GHz",2014-02-28,49.99,2022-10-04,29.99,1707,"First Quartile"
"494","AMD A8-6600K APU",2013-09-27,109.99,2023-05-25,19.28,3008,"Second Quartile"
"495","Intel Core i7-980X @ 3.33GHz",2016-06-05,499,2022-09-19,133,6854,"Third Quartile"
"496","Intel Core i5-670 @ 3.47GHz",2010-07-12,299.99,2021-12-05,291,2533,"Third Quartile"
"497","AMD A4-6320 APU",2014-06-30,69.99,2014-06-30,69.99,1530,"Second Quartile"
"498","AMD Athlon X4 760K Quad Core",2018-03-21,46.5,2022-09-13,13.55,2948,"First Quartile"
"499","AMD Athlon X4 860K",2014-11-14,79.99,2023-02-20,15.03,3422,"Second Quartile"
"500","AMD PRO A6-9500",2017-03-31,74,2017-03-31,74,1770,"First Quartile"
"501","Intel Core i5-2320 @ 3.00GHz",2011-12-15,189.99,2023-04-28,26.11,3658,"Third Quartile"
"502","AMD PRO A12-9800E",2017-03-31,169,2017-03-31,169,3171,"Second Quartile"
"503","Intel Celeron G1830 @ 2.80GHz",2014-02-19,59.99,2022-03-12,69.95,1560,"First Quartile"
"504","Intel Core i3-2120 @ 3.30GHz",2011-07-16,139.99,2022-09-21,31.99,1952,"Second Quartile"
"505","AMD A10-7850K APU",2014-07-15,169.99,2023-02-24,51.02,3416,"Third Quartile"
"506","AMD PRO A8-9600",2016-09-30,119,2016-09-30,119,3359,"Second Quartile"
"507","Intel Pentium G2010 @ 2.80GHz",2013-03-04,74.99,2021-05-19,24.99,1620,"First Quartile"
"508","AMD Phenom II X6 1100T",2011-03-06,229.99,2023-04-28,123.01,3849,"Third Quartile"
"509","AMD A10-7870K",2015-08-09,144.99,2022-08-14,68.96,3429,"Second Quartile"
"510","AMD Athlon X4 750 Quad Core",2015-03-31,94.75,2015-03-31,94.75,2625,"First Quartile"
"511","Intel Core i7-975 @ 3.33GHz",2010-07-22,1039.99,2021-05-13,645,3461,"Third Quartile"
"512","Intel Core i5-2390T @ 2.70GHz",2011-09-30,99.9,2011-09-30,99.9,2474,"Second Quartile"
"513","AMD FX-8300 Eight-Core",2016-02-23,124.99,2022-08-24,59.69,5309,"Second Quartile"
"514","AMD PRO A6-9500E",2017-03-31,74,2017-03-31,74,1662,"First Quartile"
"515","AMD A10-7860K",2016-03-15,114.99,2023-05-23,45.96,3271,"Second Quartile"
"516","AMD A10-5800K APU",2012-12-03,119.99,2023-03-08,28.95,2958,"Second Quartile"
"517","Intel Core i3-3220T @ 2.80GHz",2012-09-30,135,2012-09-30,135,1940,"Second Quartile"
