"","GPU","Score","G2DScore","G3DScore","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"89","GeForce GTX 660 Ti",2285,462,4414,2012-08-27,1439.99,2022-03-30,144,"Third Quantile"
"90","GeForce GTX 950",2263,642,5338,2015-08-24,159.99,2022-03-30,141.99,"Second Quantile"
"91","GeForce GTX 1630",2111,658,4994,2022-08-16,162.99,2024-02-02,189.99,"First Quantile"
"92","Radeon HD 7870",2110,588,4640,2012-06-03,339.99,2021-05-13,499,"Third Quantile"
"93","GeForce GTX 1050",2091,463,5046,2016-12-16,109.99,2023-01-07,198.16,"First Quantile"
"94","GeForce GTX 480",2046,445,4107,2011-05-28,383.01,2020-03-14,579,"Third Quantile"
"95","GRID K520",1940,160,3516,2020-03-10,749.95,2021-12-17,149.99,"Third Quantile"
"96","GeForce GTX 580",1897,478,4566,2011-03-17,519.99,2021-05-13,279.99,"Third Quantile"
"97","GeForce GTX 660",1820,478,4000,2012-11-20,229.98,2022-03-30,167.95,"Second Quantile"
"98","GeForce GTX 680M",1782,338,3216,2016-03-14,499.99,2020-03-10,135.99,"Second Quantile"
"99","GeForce GTX 750 Ti",1762,512,3904,2014-04-17,139.99,2021-08-28,118.61,"Second Quantile"
"100","Radeon RX 460",1697,574,4103,2016-09-11,116.95,2021-08-28,592,"First Quantile"
"101","Radeon HD 7850",1683,561,3860,2012-06-03,239.99,2021-05-16,159.99,"Second Quantile"
"102","GeForce GTX 750",1575,505,3351,2014-04-28,118.91,2021-07-03,531,"Second Quantile"
"103","Radeon HD 7790",1571,459,3090,2013-05-01,149.98,2020-03-10,180.32,"First Quantile"
"104","T400",1531,589,3631,2021-11-20,189.99,2022-12-14,199.99,"First Quantile"
"105","Radeon RX 560",1481,493,3647,2017-06-30,109.99,2024-03-07,189.55,"First Quantile"
"106","Radeon R7 260X",1447,522,3186,2013-12-21,145.68,2020-03-10,132.28,"First Quantile"
"107","GeForce GTX 570",1412,475,3928,2011-03-10,349.99,2021-11-20,149.99,"Third Quantile"
"108","GeForce GTX 590",1384,394,3341,2011-04-02,788.3,2021-06-10,295,"Third Quantile"
"109","GeForce GTX 650 Ti",1324,409,2523,2013-01-05,155.79,2022-03-30,93.05,"First Quantile"
"110","Radeon R7 360",1297,514,3094,2016-01-20,99.99,2021-11-20,145.99,"First Quantile"
"111","GeForce GT 1030",1257,444,2467,2017-07-13,67.99,2023-08-01,105.59,"First Quantile"
"112","Radeon HD 6990",1255,630,3013,2011-04-02,712.99,2021-07-03,508.49,"Third Quantile"
"113","GeForce GTX 560 Ti",1242,425,3038,2011-03-17,244.99,2021-05-13,129.99,"Third Quantile"
"114","Radeon HD 5970",1231,418,2282,2011-03-08,909.99,2021-05-13,525,"Third Quantile"
"115","Radeon Pro",1224,608,2110,2021-08-11,2800,2023-10-18,554.22,"Third Quantile"
"116","Radeon HD 7770",1178,461,2170,2012-05-13,129.99,2021-05-13,139,"Second Quantile"
"117","GeForce GTX 460",1120,383,2262,2011-05-25,149.99,2021-05-13,69.22,"Second Quantile"
"118","Radeon HD 6970",1104,429,2836,2011-06-02,329.99,2021-05-13,399,"Third Quantile"
"119","Radeon HD 5870",1082,407,2213,2011-05-18,749.99,2021-05-13,119.99,"Third Quantile"
"120","GeForce GTX 470",1081,406,3107,2011-05-19,301.97,2021-05-27,109.99,"Third Quantile"
"121","Radeon HD 6870",1058,407,2219,2011-03-17,209.99,2021-05-13,109.99,"Second Quantile"
"122","GeForce GTX 560",1047,427,2740,2011-08-10,189.99,2021-05-16,59.99,"Second Quantile"
"123","Radeon RX 550",1031,488,2722,2017-07-21,89.99,2023-11-19,199.99,"First Quantile"
"124","Radeon HD 6950",999,438,2612,2011-05-25,239.99,2021-05-13,310,"Third Quantile"
"125","Radeon HD 5850",948,403,1980,2011-05-26,184.99,2021-06-06,109.99,"Second Quantile"
"126","GeForce GTX 465",914,462,2663,2011-05-18,209.99,2021-05-13,195,"Second Quantile"
"127","Radeon R9 350",905,539,2019,2016-11-16,134.36,2021-05-13,299,"First Quantile"
