"","Disk","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"167","Force MP600",30453,2020-09-30,62.99,2020-09-30,62.99,"Third Quantile"
"168","Seagate FireCuda",32332,2021-06-30,45,2021-06-30,45,"Second Quantile"
"169","NVMe Sabrent Rocket 4",26765,2020-03-31,64.99,2020-03-31,64.99,"Third Quantile"
"170","EMTEC X300 512GB",17922,2020-12-31,54.99,2020-12-31,54.99,"Third Quantile"
"171","WD Blue SN580 1TB",33463,2023-09-30,49.99,2023-09-30,49.99,"First Quantile"
"172","Predator SSD GM7000 1TB",42017,2022-12-08,104.99,2024-02-29,77.99,"Second Quantile"
"173","MSI M460 1TB",36887,2023-03-31,74.99,2023-03-31,74.99,"Second Quantile"
"174","WDC PC SN810 SDCPNRY 1TB",41636,2021-12-31,85,2021-12-31,85,"Second Quantile"
"175","ADATA LEGEND 740",21576,2022-06-30,44.99,2022-06-30,44.99,"First Quantile"
"176","CT1000T500SSD8",40364,2023-12-31,84.99,2023-12-31,84.99,"Second Quantile"
"177","CT1000T705SSD3",72236,2024-03-31,154.99,2024-03-31,154.99,"Second Quantile"
"178","KXG60ZNV1T02 KIOXIA",20671,2020-03-31,48.18,2020-03-31,48.18,"Second Quantile"
"179","WD Green SN350 1TB",24296,2021-12-31,59,2021-12-31,59,"Second Quantile"
"180","Crucial T700 1TB Gen5 M.2",62418,2023-07-02,179.99,2024-04-29,181.99,"Third Quantile"
"181","Corsair MP600 PRO LPX",48415,2022-06-30,99.99,2022-06-30,99.99,"Second Quantile"
"182","ADATA LEGEND 850 LITE",30943,2023-09-30,68.99,2023-09-30,68.99,"Second Quantile"
"183","Micron MTFDHBA1T0TCK",16733,2021-09-07,306.3,2023-10-16,47.24,"Third Quantile"
"184","BC711 NVMe SK hynix 1TB",21740,2023-09-17,70.86,2023-12-26,57.74,"Second Quantile"
"185","Corsair MP600 PRO XT 1TB",41284,2023-05-17,89.99,2024-03-12,109.99,"Second Quantile"
"186","SABRENT 1TB Rocket 4 Plus",50889,2023-08-01,119.99,2024-02-09,119.99,"Second Quantile"
"187","Crucial T700 1TB Gen5 with heatsink",60220,2023-09-30,167.99,2023-09-30,167.99,"Third Quantile"
"188","PNY CS2140 1TB SSD",22381,2022-09-13,89.99,2023-01-19,62.99,"Second Quantile"
"189","Predator SSD GM3500 1TB",17584,2023-01-05,79.99,2024-03-21,49.99,"Second Quantile"
"190","MSI M450 1TB",26343,2023-05-17,59.99,2024-03-31,72.99,"Second Quantile"
"191","NVMe PNY CS3140 1TB SSD",32309,2023-07-11,87.99,2024-04-03,237.99,"Second Quantile"
"192","KBG40ZNV1T02 KIOXIA",16077,2023-09-17,51.96,2023-11-02,47.24,"First Quantile"
"193","CT1000P3SSD8",21340,2022-09-30,68.99,2022-09-30,68.99,"Second Quantile"
"194","NVMe Sabrent Rocket Q",22394,2020-09-30,49.99,2020-09-30,49.99,"Second Quantile"
"195","Seagate FireCuda 530 1TB",44457,2023-11-03,98.75,2024-04-08,159.99,"Second Quantile"
"196","Micron MTFDHBA1T0QFD",15663,2023-09-18,56.69,2023-12-25,52.49,"First Quantile"
"197","Viper M.2 VP4100",29602,2020-04-16,219.99,2023-06-19,278.31,"Third Quantile"
"198","MSI M470 1TB",32287,2023-05-17,103.38,2024-03-01,109.99,"Second Quantile"
"199","WD Blue SN570 1TB",25613,2021-12-31,89.99,2021-12-31,89.99,"Second Quantile"
"200","Predator SSD GM7000 2TB",49530,2023-05-17,129.99,2024-03-01,138.7,"Third Quantile"
"201","GIGABYTE AG4732TB",53440,2023-12-31,159.98,2023-12-31,159.98,"Third Quantile"
"202","PNY CS3140 2TB SSD",46213,2021-06-30,139.99,2021-06-30,139.99,"Third Quantile"
"203","MSI M482 2TB",48072,2024-03-31,149.99,2024-03-31,149.99,"Second Quantile"
"204","MSI M480 2TB",45390,2022-01-31,382.99,2024-05-02,183.34,"Third Quantile"
"205","CT2000T500SSD8",43313,2023-12-31,147.99,2023-12-31,147.99,"Third Quantile"
"206","WD Blue SN580 2TB",34437,2023-09-30,119.99,2023-09-30,119.99,"Second Quantile"
"207","MSI M570 2TB",67435,2023-07-17,349.99,2024-04-08,329.99,"Third Quantile"
"208","Samsung 980 PRO with Heatsink 2TB",41597,2021-12-31,149.99,2021-12-31,149.99,"Third Quantile"
"209","MSI M450 2TB",26329,2023-10-26,90.99,2024-02-29,94.99,"Second Quantile"
"210","ADATA LEGEND 850",28994,2023-05-17,169.77,2024-02-29,139.99,"Third Quantile"
"211","NVMe WD BLACK SN770 2TB",37446,2022-12-31,148,2022-12-31,148,"Third Quantile"
"212","PNY CS2140 2TB SSD",24550,2022-12-07,134.99,2024-02-29,99.99,"Second Quantile"
"213","KINGSTON KC3000 2TB",49036,2021-12-31,199.99,2021-12-31,199.99,"Third Quantile"
"214","CT2000T500SSD5",38671,2024-03-31,160.99,2024-03-31,160.99,"Second Quantile"
"215","NVMe WD Blue SN570 2TB",28754,2022-12-31,119.99,2022-12-31,119.99,"Second Quantile"
"216","Kingston KC3000 M.2 SSD",46816,2023-05-17,388.99,2024-02-29,199.99,"Third Quantile"
"217","NVMe PNY CS3140 2TB SSD",50813,2023-07-07,139.99,2024-03-01,219.99,"Third Quantile"
"218","MSI M470 2TB",34600,2021-12-31,149.99,2021-12-31,149.99,"Third Quantile"
"219","WD BLACK SN770 2TB",36535,2022-03-31,158.6,2022-03-31,158.6,"Third Quantile"
"220","KINGSTON FURY Renegade 2TB",50981,2022-07-31,284.99,2024-03-01,246.99,"Third Quantile"
"221","Samsung SSD 980 PRO 2TB",42367,2021-03-02,429.99,2023-12-12,199,"Third Quantile"
"222","WDC SN810 NVMe 2TB",39570,2021-12-31,189,2021-12-31,189,"Third Quantile"
"223","CT2000P3SSD8",22593,2022-09-30,114.99,2022-09-30,114.99,"Second Quantile"
"224","CT2000P5PSSD8",39720,2022-04-01,573.14,2024-02-02,195.99,"Third Quantile"
"225","NVMe WD Green SN350 2TB",26487,2023-11-13,139.99,2024-02-29,139.99,"Third Quantile"
"226","WD Green SN350 2TB",26069,2022-06-30,139.99,2022-06-30,139.99,"Third Quantile"
"227","WDC WD20EURS",18435,2011-07-15,99.99,2023-11-13,98,"Second Quantile"
"228","Corsair MP700",63359,2023-08-06,441.15,2024-02-23,269.99,"Third Quantile"
"229","SSD M.2 NVME 2TB",23133,2023-06-30,127.99,2023-06-30,127.99,"Third Quantile"
"230","PNY CS3040 2TB SSD",32434,2021-11-02,429.99,2023-11-24,179.99,"Third Quantile"
"231","Corsair MP600 CORE",31731,2021-06-30,139.99,2021-06-30,139.99,"Third Quantile"
"232","PNY CS2241 2TB SSD",22427,2023-10-03,99.99,2024-02-29,129.99,"Second Quantile"
"233","Samsung SSD 990 EVO 2TB",30931,2024-03-13,209.95,2024-04-23,209.99,"Third Quantile"
"234","Lexar 2TB SSD",30379,2023-05-26,246.56,2024-03-19,179.99,"Third Quantile"
"235","Corsair MP600 GS",33975,2023-03-31,198.99,2023-03-31,198.99,"Third Quantile"
"236","MSI M461 2TB",29083,2023-08-06,129.99,2024-03-20,175.99,"Third Quantile"
"237","Predator SSD GM7000 4TB",46748,2023-03-31,274.99,2023-03-31,274.99,"Third Quantile"
"238","KINGSTON FURY Renegade 4TB",52499,2022-07-22,988.99,2024-04-14,389.99,"Third Quantile"
"239","Samsung SSD 990 PRO 4TB",52971,2023-12-31,339.99,2023-12-31,339.99,"Third Quantile"
"240","FANTOM DRIVES VENOM8",48878,2023-05-17,359.99,2024-03-21,399.95,"Third Quantile"
"241","Crucial T700 4TB Gen5 with heatsink",66889,2023-09-30,499.99,2023-09-30,499.99,"Third Quantile"
"242","Crucial T700 4TB Gen5",73682,2023-07-30,599.99,2024-04-22,483.96,"Third Quantile"
"243","PNY CS2241 4TB SSD",31574,2023-06-30,259.99,2023-06-30,259.99,"Third Quantile"
"244","WDC WD40EFAX",14364,2023-06-07,124.99,2024-03-02,124.99,"Second Quantile"
"245","CT4000P3PSSD8",29312,2023-06-07,263.99,2024-03-15,299.99,"Third Quantile"
"246","CT4000T705SSD3",85279,2024-03-31,713.99,2024-03-31,713.99,"Third Quantile"
"247","Transcend TS4TMTE250S",48165,2023-06-30,466.99,2023-06-30,466.99,"Third Quantile"
"248","PNY CS3140 4TB SSD",48909,2023-08-11,379.99,2024-04-22,487.99,"Third Quantile"
"249","Seagate ST8000DX001",26489,2023-06-07,167.65,2023-08-11,320.35,"Third Quantile"
"250","MSI M461 4TB",27271,2023-07-26,229.99,2024-03-31,271.99,"Third Quantile"
"251","CT4000P3SSD8",21882,2022-12-31,225.46,2022-12-31,225.46,"Third Quantile"
"252","WDC WD40EZRZ",7055,2015-12-31,84,2015-12-31,84,"Second Quantile"
"253","KINGSTON KC3000 4TB",45279,2022-03-31,550.25,2022-03-31,550.25,"Third Quantile"
"254","Seagate ST4000VN008",7937,2022-09-27,107.54,2024-03-10,220,"Second Quantile"
"255","Seagate ST4000DM005",7727,2018-12-22,99.99,2023-01-13,153.32,"Second Quantile"
"256","Oyen Digital PCIe SSD",48809,2023-09-30,869,2023-09-30,869,"Third Quantile"
"257","Sabrent",23757,2021-05-26,799.99,2024-05-04,519.99,"Third Quantile"
"258","INTEL SSDPE2KX040T8",18736,2019-06-30,407.84,2019-06-30,407.84,"Third Quantile"
"259","Seagate ST4000VX007",4568,2017-06-30,101.99,2017-06-30,101.99,"Third Quantile"
"260","Seagate ST3000DM008",3341,2018-12-22,117.32,2022-12-30,265.99,"Third Quantile"
"261","WDC WD6003FZBX",6647,2018-12-31,175.9,2018-12-31,175.9,"Third Quantile"
"262","Seagate ST4000DM004",4857,2018-12-22,127.76,2023-09-17,99,"Third Quantile"
"263","Seagate ST8000DM004",4117,2022-09-24,182.79,2024-04-07,162.99,"Third Quantile"
"264","Seagate ST33000650NS",1006,2013-06-12,289.99,2024-03-27,30,"Third Quantile"
"265","PNY CS3040 4TB SSD",24852,2022-09-30,749.99,2022-09-30,749.99,"Third Quantile"
"266","WDC WD40EZRX",5298,2014-12-11,139.99,2024-02-26,112.44,"Third Quantile"
"267","PNY CS2130 4TB SSD",19972,2023-05-17,595.74,2023-09-09,580.55,"Third Quantile"
"268","SanDisk SDSSDH3 4T00",19071,2024-01-11,250.99,2024-04-10,259.99,"Third Quantile"
