Name,Link,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
Radeon Vega Frontier Edition,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Vega+Frontier+Edition&id=3775,,,,
GeForce GTX 1080 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080+with+Max-Q+Design&id=3784,,,,
GeForce GTX TITAN X,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+TITAN+X&id=3162,28 Mar 15,999.99,30 Mar 22,"1,098.98"
Radeon RX 6600M,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600M&id=4449,12 Dec 21,549.99,09 Jan 24,219.99
RTX A3000 12GB Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A3000+12GB+Laptop+GPU&id=4503,,,,
Radeon RX 6650M,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6650M&id=4557,,,,
Intel Arc A750,https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A750&id=4612,21 Jan 23,332.55,15 Feb 24,209.99
Radeon RX 7600S,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600S&id=4835,,,,
RTX 2000 Ada Generation Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+2000+Ada+Generation+Laptop+GPU&id=4785,,,,
Radeon Pro Vega 64,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+64&id=3879,,,,
GeForce RTX 2060,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060&id=4037,19 Jan 19,349.99,27 Sep 23,209.99
Radeon Pro WX 9100,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+9100&id=3833,,,,
Radeon Pro V520 MxGPU,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+V520+MxGPU&id=4328,,,,
RTX A3000 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A3000+Laptop+GPU&id=4414,,,,
Quadro M6000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000&id=3106,11 Apr 15,"4,999",24 Dec 21,"1,388.49"
Radeon RX 6700M,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700M&id=4458,03 Sep 22,369.99,21 Jan 24,299.99
Radeon RX 5600,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600&id=4205,,,,
Quadro M6000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000&id=3106,11 Apr 15,"4,999",06 Sep 22,"4,827.53"
Quadro P5200,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200&id=3888,,,,
Quadro P4200,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4200&id=3959,,,,
Radeon RX 7600M XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600M+XT&id=4844,,,,
GeForce GTX 1660 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti&id=4045,26 Feb 19,279.99,25 Mar 24,328.72
GeForce RTX 2060 (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+%28Mobile%29&id=4085,,,,
RadeonT RX 6850M XT,https://www.videocardbenchmark.net/gpu.php?gpu=RadeonT+RX+6850M+XT&id=4849,,,,
Quadro M6000 24GB,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000+24GB&id=3544,,,,
Quadro P3200 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P3200+with+Max-Q+Design&id=3963,,,,
Intel Arc A580,https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A580&id=4940,02 Dec 23,427.98,08 Apr 24,179.99
Quadro RTX 5000 (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000+%28Mobile%29&id=4147,,,,
GeForce RTX 2070 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+with+Max-Q+Design&id=4048,,,,
Radeon Pro Duo,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Duo&id=3575,23 Sep 16,"1,353.44",10 Jun 23,"3,970.36"
Radeon Pro W5500,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5500&id=4192,02 Apr 20,399.99,14 Dec 22,409.99
GeForce GTX 1660 Ti (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti+%28Mobile%29&id=4091,,,,
GeForce GTX 1660 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+SUPER&id=4159,11 Dec 19,249.99,14 Sep 23,199.99
Tesla P100-PCIE-16GB,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+P100-PCIE-16GB&id=4039,,,,
Intel Arc A770M,https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A770M&id=4620,,,,
GeForce RTX 2070 Super with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+Super+with+Max-Q+Design&id=4204,,,,
Radeon Pro Vega 56,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+56&id=3912,,,,
Quadro P4200 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4200+with+Max-Q+Design&id=3999,,,,
Radeon RX 6800M,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800M&id=4415,,,,
Tesla V100-PCIE-16GB,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+V100-PCIE-16GB&id=4226,,,,
GeForce GTX 1660,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660&id=4062,13 Apr 19,219.99,26 Mar 24,282.05
Quadro P4000,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4000&id=3719,04 Apr 17,983.16,20 Nov 21,"1,078.91"
GeForce RTX 2080 Super with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+Super+with+Max-Q+Design&id=4202,,,,
Quadro RTX 5000 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000+with+Max-Q+Design&id=4144,,,,
GeForce GTX 980,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+980&id=2953,12 Nov 14,599.99,10 Apr 22,247.47
Tesla T4,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+T4&id=4211,07 Apr 21,"2,780.18",01 Oct 23,"4,437.09"
GeForce RTX 2080 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+with+Max-Q+Design&id=4041,,,,
Radeon RX 6500 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6500+XT&id=4488,14 Feb 22,279.99,09 Jan 24,159.99
Quadro P5200 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200+with+Max-Q+Design&id=3996,,,,
Intel Arc A730M,https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A730M&id=4928,,,,
Tesla P40,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+P40&id=4548,,,,
Radeon RX 5500 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500+XT&id=4174,30 Dec 19,219.99,19 Feb 24,163.16
GeForce RTX 3050 6GB Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+6GB+Laptop+GPU&id=4782,,,,
Quadro RTX 4000 (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+4000+%28Mobile%29&id=4148,,,,
GeForce GTX 1070 (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+%28Mobile%29&id=4087,,,,
RTX A2000 8GB Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000+8GB+Laptop+GPU&id=4553,,,,
Quadro RTX 4000 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+4000+with+Max-Q+Design&id=4161,,,,
