"","X","Disk","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile","AdjustedReleasePrice","AdjustedCurrentPrice"
"160",196,"Micron MTFDHBA1T0QFD",15663,2023-09-18,56.69,2023-12-25,52.49,"First Quantile",38.3116154677822,35.4732174264225
"161",54,"SK hynix SC311 128GB",2778,2021-05-30,44.92,2023-11-02,14.16,"First Quantile",34.130153432215,9.56945625372723
"162",21,"KXG60ZNV512G TOSHIBA",17912,2021-05-15,123.99,2023-08-19,42.51,"Second Quantile",94.2074292978705,28.7286430329057
"163",239,"Samsung SSD 990 PRO 4TB",52971,2023-12-31,339.99,2023-12-31,339.99,"Third Quantile",229.768321448073,229.768321448073
"164",173,"MSI M460 1TB",36887,2023-03-31,74.99,2023-03-31,74.99,"Second Quantile",50.6789212194212,50.6789212194212
"165",187,"Crucial T700 1TB Gen5 with heatsink",60220,2023-09-30,167.99,2023-09-30,167.99,"Third Quantile",113.529163563816,113.529163563816
"166",230,"PNY CS3040 2TB SSD",32434,2021-11-02,429.99,2023-11-24,179.99,"Third Quantile",326.705803079211,121.638872253416
"167",148,"WD Red SN700 500GB",23689,2023-07-18,122.99,2023-11-27,86.11,"Second Quantile",83.1177559778186,58.19391793845
"168",101,"KBG40ZNS256G NVMe KIOXIA 256GB",12661,2022-12-06,26.99,2023-12-11,25,"First Quantile",18.9879300059258,16.8952264366653
"169",256,"Oyen Digital PCIe SSD",48809,2023-09-30,869,2023-09-30,869,"Third Quantile",587.278070938486,587.278070938486
"170",6,"CT1000T500SSD5",41740,2023-12-31,89.99,2023-12-31,89.99,"Second Quantile",60.8160570814204,60.8160570814204
"171",197,"Viper M.2 VP4100",29602,2020-04-16,219.99,2023-06-19,278.31,"Third Quantile",175.004056074576,188.084418783533
"172",48,"Intel Optane P1600X 58GB",13064,2023-06-30,32.84,2023-06-30,32.84,"First Quantile",22.1935694472035,22.1935694472035
"173",249,"Seagate ST8000DX001",26489,2023-06-07,167.65,2023-08-11,320.35,"Third Quantile",113.299388484278,216.495431559429
"174",143,"Patriot M.2 P400 512GB",28050,2023-07-17,49.88,2023-10-14,59.99,"First Quantile",33.7093557864346,40.5417853574221
"175",171,"WD Blue SN580 1TB",33463,2023-09-30,49.99,2023-09-30,49.99,"First Quantile",33.7836947827559,33.7836947827559
"176",132,"SK hynix BC711 HFM512GD3JX013N",20672,2023-07-28,33.06,2023-10-18,28.34,"First Quantile",22.3422474398462,19.1524286886038
"177",133,"WD Blue SN580 500GB",28949,2023-09-30,39.99,2023-09-30,39.99,"First Quantile",27.0256042080898,27.0256042080898
"178",247,"Transcend TS4TMTE250S",48165,2023-06-30,466.99,2023-06-30,466.99,"Third Quantile",315.596071746333,315.596071746333
"179",125,"KBG30ZMV256G KIOXIA",8108,2023-01-16,62.99,2023-06-19,33.06,"Second Quantile",42.5692125298219,22.3422474398462
"180",166,"INTEL SSDPEKNW512G8H",10234,2023-07-17,39.68,2023-10-18,28.34,"First Quantile",26.8161034002752,19.1524286886038
"181",137,"NVMe WD Blue SN570 500GB",24468,2023-05-26,49.99,2023-09-07,43.04,"First Quantile",33.7836947827559,29.086821833363
"182",44,"GIGABYTE AG510K2TB",60830,2023-06-30,286.42,2023-06-30,286.42,"Third Quantile",193.565230239587,193.565230239587
"183",188,"PNY CS2140 1TB SSD",22381,2022-09-13,89.99,2023-01-19,62.99,"Second Quantile",63.3095154217586,42.5692125298219
"184",237,"Predator SSD GM7000 4TB",46748,2023-03-31,274.99,2023-03-31,274.99,"Third Quantile",185.840732712744,185.840732712744
"185",141,"Crucial P3 Plus 500GB",20875,2023-05-17,35.99,2023-07-17,39.99,"First Quantile",24.3223679782234,27.0256042080898
"186",182,"ADATA LEGEND 850 LITE",30943,2023-09-30,68.99,2023-09-30,68.99,"Second Quantile",46.6240668746216,46.6240668746216
"187",145,"KXG60ZNV512G KIOXIA",18687,2023-08-11,47.24,2023-10-17,41.99,"First Quantile",31.9252198747228,28.377222323023
"188",275,"CT4000MX500SSD1",4172,2023-03-31,219,2023-03-31,219,"Third Quantile",148.002183585188,148.002183585188
"189",183,"Micron MTFDHBA1T0TCK",16733,2021-09-07,306.3,2023-10-16,47.24,"Third Quantile",232.726313363479,31.9252198747228
"190",25,"GIGABYTE AORUS Gen5 12000 1TB",55095,2023-12-31,183.04,2023-12-31,183.04,"Third Quantile",123.700089878689,123.700089878689
